DOWNTOWN,STNAME,YEAR,AAWDT
false,N 45TH ST,2009,22200
false,NE 80TH ST,2009,9500
true,DENNY WAY,2009,30200
false,E ALOHA ST,2009,7600
false,51ST AVE S,2009,6300
false,24TH AVE NW,2009,10300
false,10TH AVE E,2009,13100
false,NE NORTHGATE WAY,2009,29500
true,JAMES ST,2009,33400
false,NW 80TH ST,2009,8500
false,AURORA AVE N,2009,36700
false,4TH AVE S,2009,23800
false,AIRPORT WAY S,2009,16700
false,15TH AVE W,2009,38500
false,S LUCILE ST,2009,6800
true,DENNY WAY,2009,24000
false,E YESLER WAY,2009,8000
true,BOREN AVE,2009,21300
false,DELRIDGE WAY SW,2009,13400
false,FAUNTLEROY WAY SW,2009,16500
false,QUEEN ANNE AVE N,2009,12200
false,14TH AVE,2009,8100
false,NE 75TH ST,2009,16700
true,7TH AVE,2009,7300
false,NE 45TH ST,2009,36900
false,N 46TH ST,2009,24500
false,N 65TH ST,2009,7900
false,SW MORGAN ST,2009,7400
false,E CHERRY ST,2009,8000
false,S GENESEE ST,2009,9800
false,N 85TH ST,2009,23700
false,MAGNOLIA BR,2009,17000
false,AIRPORT WAY S,2009,11400
true,MADISON ST,2009,23100
false,NE 50TH ST,2009,26200
false,GREENWOOD AVE N,2009,11900
true,E PINE ST,2009,11900
false,GREENWOOD AVE N,2009,22100
false,ROOSEVELT WAY NE,2009,18500
false,1ST AVE NE,2009,5300
false,FAUNTLEROY FERRY DOCK,2009,5700
false,N 145TH ST,2009,24100
true,E PIKE ST,2009,12200
false,35TH AVE NE,2009,15100
true,7TH AVE,2009,4800
false,FAUNTLEROY WAY SW,2009,11000
false,1ST AVE S,2009,14100
false,NE 55TH ST,2009,6000
true,1ST AVE S,2009,10200
false,NE 45TH ST,2009,25500
false,RAINIER AVE S,2009,30100
false,1ST AVE S,2009,11700
false,EAST GREEN LAKE WAY N,2009,17100
true,2ND AVE,2009,12100
false,32ND AVE NW,2009,4200
false,12TH AVE,2009,12300
false,NE 65TH ST,2009,11700
false,GREENWOOD AVE N,2009,12200
false,5TH AVE NE,2009,5900
false,ELLIOTT AVE W,2009,44000
false,1ST AVE S,2009,25400
false,SEAVIEW AVE NW,2009,2800
false,LAKE CITY WAY NE,2009,35400
true,3RD AVE,2009,6900
false,N 105TH ST,2009,23000
false,12TH AVE NE,2009,8900
false,DELRIDGE WAY SW,2009,17000
false,15TH AVE NE,2009,15200
false,15TH AVE NW,2009,31000
false,WESTLAKE AVE N,2009,24600
false,N 40TH ST,2009,11500
true,1ST AVE,2009,21600
false,W EMERSON PL,2009,20100
false,LAKE WASHINGTON BLVD E,2009,17300
false,PHINNEY AVE N,2009,11700
false,BROADWAY,2009,17100
false,BEACON AVE S,2009,11400
false,BALLARD BR,2009,57200
false,EAST MARGINAL WAY S,2009,12400
false,S DEARBORN ST,2009,20700
false,NE 65TH ST,2009,15200
false,6TH AVE S,2009,14900
false,ALKI AVE SW,2009,9700
true,5TH AVE,2009,10800
false,,2009,5200
false,1ST AV S BR NB,2009,89400
false,W EMERSON PL,2009,20100
false,NW 85TH ST,2009,14500
false,8TH AVE SW,2009,6300
false,RAINIER AVE S,2009,35000
false,4TH AVE S,2009,22000
true,ALASKAN WAY,2009,10800
false,PINEHURST WAY NE,2009,8600
false,35TH AVE SW,2009,20600
false,LEARY WAY NW,2009,28500
true,4TH AVE,2009,17400
false,NE 45TH ST,2009,40300
false,NE NORTHGATE WAY,2009,17800
false,SW ADMIRAL WAY,2009,25400
false,3RD AVE NW,2009,8200
false,ROOSEVELT WAY NE,2009,11700
false,28TH AVE W,2009,3700
true,DENNY WAY,2009,23200
false,EAST MARGINAL WAY S,2009,14400
false,WESTERN AV OFF RP,2009,16800
false,AURORA AVE N,2009,83700
false,RAINIER AVE S,2009,21300
false,N 130TH ST,2009,12600
false,15TH AVE NE,2009,10500
false,OLSON PL SW,2009,28400
false,31ST AVE S,2009,4600
false,WEST MARGINAL WAY SW,2009,15300
false,AURORA AVE N,2009,35500
false,RENTON AVE S,2009,11300
false,14TH AVE S,2009,14100
false,N 85TH ST,2009,25100
false,DELRIDGE WAY SW,2009,21100
false,8TH AVE NW,2009,12500
true,3RD AVE,2009,7900
false,FREMONT AVE N,2009,9600
false,STONE WAY N,2009,14400
true,5TH AVE,2009,12700
false,20TH AVE W,2009,6700
false,ALASKAN WY VI SB OFF RP,2009,13400
false,SW BARTON ST,2009,9200
false,SAND POINT WAY NE,2009,13800
false,E UNION ST,2009,8900
false,N 130TH ST,2009,19600
false,E JOHN ST,2009,12200
false,RENTON AVE S,2009,7500
true,COLUMBIA ST ON RP,2009,9800
true,DENNY WAY,2009,23800
false,5TH AVE NE,2009,17100
false,N 145TH ST,2009,12600
false,SW AVALON WAY,2009,13800
true,DENNY WAY,2009,30500
false,N 125TH ST,2009,9100
false,W DRAVUS ST,2009,20500
true,8TH AVE,2009,3400
false,12TH AVE E,2009,7500
false,11TH AVE NE,2009,9300
false,NE 75TH ST,2009,19400
false,MONTLAKE BR,2009,58900
false,4TH AVE S,2009,25800
false,1ST AV S BR NB,2009,89400
false,S JACKSON ST,2009,9700
true,6TH AVE,2009,7400
false,SAND POINT WAY NE,2009,13800
false,EAST GREEN LAKE DR N,2009,13600
false,NE 75TH ST,2009,21600
false,MERIDIAN AVE N,2009,4000
false,HOLMAN RD NW,2009,28700
false,BEACH DR SW,2009,4600
false,15TH AVE NE,2009,8600
false,E MADISON ST,2009,13700
false,RAINIER AVE S,2009,18600
false,E MADISON ST,2009,22400
false,15TH AVE S,2009,25300
false,5TH AVE NE,2009,12700
false,MYERS WAY S,2009,5800
false,NE 50TH ST,2009,22900
false,16TH AVE S,2009,18300
false,UNIVERSITY BR,2009,28600
true,WESTERN AVE,2009,6800
false,M L KING JR WAY,2009,13500
false,MERCER ST,2009,36300
false,SW ROXBURY ST,2009,15700
false,NE 125TH ST,2009,16000
false,MONTLAKE BLVD NE,2009,47800
false,S OTHELLO ST,2009,8600
false,S MICHIGAN ST,2009,37000
false,GILMAN AVE W,2009,12200
false,RAINIER AVE S,2009,21500
false,NE PACIFIC ST,2009,11400
false,S LUCILE ST,2009,7300
false,N NORTHGATE WAY,2009,27300
false,30TH AVE NE,2009,5900
false,NW MARKET ST,2009,24200
false,BEACON AVE S,2009,12900
false,S MYRTLE ST,2009,12200
false,S COLUMBIAN WAY,2009,15700
false,ELLIOTT AV ON RP,2009,16300
false,N 50TH ST,2009,11600
false,15TH AVE NE,2009,7200
false,8TH AVE S,2009,2200
false,25TH AVE NE,2009,11700
false,4TH AVE S,2009,18600
true,2ND AVE,2009,14800
false,35TH AVE NE,2009,15300
false,RENTON AVE S,2009,8300
false,ROOSEVELT WAY NE,2009,11300
true,SENECA ST OFF RP,2009,10600
false,VALLEY ST,2009,40400
false,NE 125TH ST,2009,10700
false,CORSON AVE S,2009,8700
true,4TH AVE,2009,13600
false,N 80TH ST,2009,14900
false,CALIFORNIA AVE SW,2009,14400
false,E MADISON ST,2009,14900
false,S COLUMBIAN WAY,2009,36600
false,S HOLGATE BR,2009,7400
false,ALASKAN WY VI NB ON RP,2009,10200
false,34TH AVE W,2009,5000
false,GREENWOOD AVE N,2009,22800
false,AURORA AVE N,2009,83700
false,S LANDER ST,2009,13800
true,6TH AVE,2009,12900
false,RAINIER AVE S,2009,27400
false,NE 65TH ST,2009,16100
false,15TH AVE NE,2009,12800
false,3RD AVE NW,2009,8300
false,AURORA BR,2009,81700
false,NE 145TH ST,2009,30300
false,25TH AVE NE,2009,18600
false,SWIFT AVE S,2009,8000
false,EASTLAKE AVE E,2009,15100
false,16TH AVE SW,2009,4900
false,CORSON AVE S,2009,25300
true,1ST AVE,2009,15100
false,24TH AVE E,2009,20500
false,LAKE CITY WAY NE,2009,35400
false,SW 106TH ST,2009,8800
false,M L KING JR WAY E,2009,6500
false,LAKE CITY WAY NE,2009,37300
false,12TH AVE S,2009,19200
true,WESTERN AVE,2009,9700
false,ELLIS AVE S,2009,9400
false,NICKERSON ST,2009,22000
false,35TH AVE SW,2009,15600
true,ALASKAN WAY S,2009,12700
false,BOREN AVE,2009,20200
false,CALIFORNIA AVE SW,2009,13500
false,STEWART ST RAMP,2009,18500
false,PIKE RAMP,2009,2500
false,UNIVERSITY ST ON RAMP,2009,8300
false,JAMES ST OFF RAMP,2009,10800
false,YALE ST ON RAMP,2009,16600
false,OLIVE WAY OFF RAMP,2009,9700
false,COLUMBIA ST OFF RAMP,2009,16700
false,SENECA ST OFF RAMP,2009,12200
false,SPRING ST ON RAMP,2009,16100
false,UNION ST OFF RAMP,2009,9600
false,JAMES ST ON RAMP SB,2009,20500
false,CHERRY ST ON RAMP NB,2009,11200
false,MADISON ST OFF RAMP,2009,15800
false,CHERRY ST REV RAMP,2009,3700
true,WESTERN AVE,2009,6800
true,ALASKAN WAY,2009,12300
false,SR99 FY,2009,37400
false,SR509 NB,2009,57000
false,ALASKAN WY VI NB & SB,2009,64600
false,ALASKAN WY VI NB & SB,2009,86700
false,WEST SEATTLE BR EB & WB,2009,72600
false,WEST SEATTLE BR EB & WB,2009,94500
false,WEST SEATTLE BR EB & WB,2009,44100
false,35TH AVE SW,2009,23600
false,FREMONT BR,2009,28800
false,BATTERY ST TUNNEL NB & SB,2009,62600
false,ALASKAN WY VI NB & SB,2009,110300
false,M L KING JR WAY S,2009,21600
false,M L KING JR WAY S,2009,28100
false,S HENDERSON ST,2009,10300
false,S GRAHAM ST,2009,10900
false,RAINIER AVE S,2009,29600
false,S JACKSON ST,2009,14100
false,ML KING JR BLVD S NB & SB,2009,18800
false,M L KING JR WAY S NB & SB,2009,23800
false,S COLUMBIAN WAY,2009,36600
false,NORTHGATE WAY W/O 15TH AVE NE,2009,17800
false,ROOSEVELT WAY NE,2009,9600
true,MELROSE AVE ON RAMP,2009,26000
false,N 45TH ST,2008,22300
false,NE 80TH ST,2008,9500
true,DENNY WAY,2008,31100
false,E ALOHA ST,2008,7800
false,51ST AVE S,2008,6400
false,24TH AVE NW,2008,10600
false,10TH AVE E,2008,13800
false,NE NORTHGATE WAY,2008,32000
true,JAMES ST,2008,31900
false,NW 80TH ST,2008,8600
false,AURORA AVE N,2008,35200
false,4TH AVE S,2008,29400
false,AIRPORT WAY S,2008,17000
false,15TH AVE W,2008,43100
false,S LUCILE ST,2008,6000
true,DENNY WAY,2008,26700
false,E YESLER WAY,2008,8600
true,BOREN AVE,2008,20400
false,DELRIDGE WAY SW,2008,13600
false,FAUNTLEROY WAY SW,2008,17300
false,QUEEN ANNE AVE N,2008,11600
false,14TH AVE,2008,7700
false,NE 75TH ST,2008,14700
true,7TH AVE,2008,8400
false,NE 45TH ST,2008,36700
false,N 46TH ST,2008,24700
false,N 65TH ST,2008,8800
false,SW MORGAN ST,2008,6800
false,E CHERRY ST,2008,8200
false,S GENESEE ST,2008,10200
false,N 85TH ST,2008,24400
false,MAGNOLIA BR,2008,17500
false,AIRPORT WAY S,2008,12700
true,MADISON ST,2008,20600
false,NE 50TH ST,2008,27000
false,GREENWOOD AVE N,2008,12600
true,E PINE ST,2008,12500
false,GREENWOOD AVE N,2008,22900
false,ROOSEVELT WAY NE,2008,19700
false,1ST AVE NE,2008,5300
false,FAUNTLEROY FERRY DOCK,2008,6100
false,N 145TH ST,2008,24400
true,E PIKE ST,2008,12200
false,35TH AVE NE,2008,13600
true,7TH AVE,2008,4800
false,FAUNTLEROY WAY SW,2008,10600
false,1ST AVE S,2008,17400
false,NE 55TH ST,2008,5700
true,1ST AVE S,2008,11900
false,NE 45TH ST,2008,26300
false,RAINIER AVE S,2008,29600
false,1ST AVE S,2008,13600
false,EAST GREEN LAKE WAY N,2008,16900
true,2ND AVE,2008,11900
false,32ND AVE NW,2008,5000
false,12TH AVE,2008,13100
false,NE 65TH ST,2008,11800
false,GREENWOOD AVE N,2008,12000
false,5TH AVE NE,2008,6000
false,ELLIOTT AVE W,2008,47700
false,1ST AVE S,2008,25000
false,SEAVIEW AVE NW,2008,3000
false,LAKE CITY WAY NE,2008,35300
true,3RD AVE,2008,7100
false,N 105TH ST,2008,22200
false,12TH AVE NE,2008,8700
false,DELRIDGE WAY SW,2008,17100
false,15TH AVE NE,2008,15200
false,15TH AVE NW,2008,30600
false,WESTLAKE AVE N,2008,26800
false,N 40TH ST,2008,12500
true,1ST AVE,2008,21300
false,W EMERSON PL,2008,20400
false,LAKE WASHINGTON BLVD E,2008,17700
false,PHINNEY AVE N,2008,11500
false,BROADWAY,2008,15800
false,BEACON AVE S,2008,10600
false,BALLARD BR,2008,5900
false,EAST MARGINAL WAY S,2008,15900
false,S DEARBORN ST,2008,20700
false,NE 65TH ST,2008,14700
false,6TH AVE S,2008,14900
false,ALKI AVE SW,2008,7100
true,5TH AVE,2008,11600
false,,2008,5800
false,1ST AV S BR NB,2008,86100
false,W EMERSON PL,2008,20400
false,NW 85TH ST,2008,13600
false,8TH AVE SW,2008,6600
false,RAINIER AVE S,2008,36700
false,4TH AVE S,2008,21700
true,ALASKAN WAY,2008,11700
false,PINEHURST WAY NE,2008,8900
false,35TH AVE SW,2008,22400
false,LEARY WAY NW,2008,29900
true,4TH AVE,2008,19300
false,NE 45TH ST,2008,39800
false,NE NORTHGATE WAY,2008,18600
false,SW ADMIRAL WAY,2008,25600
false,3RD AVE NW,2008,8700
false,ROOSEVELT WAY NE,2008,11800
false,28TH AVE W,2008,4000
true,DENNY WAY,2008,24100
false,EAST MARGINAL WAY S,2008,12200
false,WESTERN AV OFF RP,2008,16000
false,AURORA AVE N,2008,85300
false,RAINIER AVE S,2008,21500
false,N 130TH ST,2008,13100
false,15TH AVE NE,2008,9900
false,OLSON PL SW,2008,28700
false,31ST AVE S,2008,4500
false,WEST MARGINAL WAY SW,2008,15400
false,AURORA AVE N,2008,35000
false,RENTON AVE S,2008,9100
false,14TH AVE S,2008,17800
false,N 85TH ST,2008,25200
false,DELRIDGE WAY SW,2008,20200
false,8TH AVE NW,2008,12800
true,3RD AVE,2008,8500
false,FREMONT AVE N,2008,10400
false,STONE WAY N,2008,15200
true,5TH AVE,2008,12700
false,20TH AVE W,2008,7000
false,ALASKAN WY VI SB OFF RP,2008,12800
false,SW BARTON ST,2008,9100
false,SAND POINT WAY NE,2008,13200
false,E UNION ST,2008,9000
false,N 130TH ST,2008,19400
false,E JOHN ST,2008,14500
false,RENTON AVE S,2008,7200
true,COLUMBIA ST ON RP,2008,8700
true,DENNY WAY,2008,22500
false,5TH AVE NE,2008,17300
false,N 145TH ST,2008,12500
false,SW AVALON WAY,2008,12500
true,DENNY WAY,2008,30700
false,N 125TH ST,2008,9400
false,W DRAVUS ST,2008,20900
true,8TH AVE,2008,4100
