DOWNTOWN,STNAME,YEAR,AAWDT
false,12TH AVE E,2008,8400
false,11TH AVE NE,2008,10100
false,NE 75TH ST,2008,19000
false,MONTLAKE BR,2008,57100
false,4TH AVE S,2008,24000
false,1ST AV S BR NB,2008,86100
false,S JACKSON ST,2008,12500
true,6TH AVE,2008,8000
false,SAND POINT WAY NE,2008,13200
false,EAST GREEN LAKE DR N,2008,12800
false,NE 75TH ST,2008,19700
false,MERIDIAN AVE N,2008,4900
false,HOLMAN RD NW,2008,28100
false,BEACH DR SW,2008,4600
false,15TH AVE NE,2008,8600
false,E MADISON ST,2008,14800
false,RAINIER AVE S,2008,18400
false,E MADISON ST,2008,22000
false,15TH AVE S,2008,27300
false,5TH AVE NE,2008,13500
false,MYERS WAY S,2008,6100
false,NE 50TH ST,2008,21700
false,16TH AVE S,2008,18100
false,UNIVERSITY BR,2008,29200
true,WESTERN AVE,2008,7500
false,M L KING JR WAY,2008,14300
false,MERCER ST,2008,37700
false,SW ROXBURY ST,2008,15200
false,NE 125TH ST,2008,16200
false,MONTLAKE BLVD NE,2008,46100
false,S OTHELLO ST,2008,8000
false,S MICHIGAN ST,2008,36600
false,GILMAN AVE W,2008,12100
false,RAINIER AVE S,2008,21700
false,NE PACIFIC ST,2008,10800
false,S LUCILE ST,2008,7200
false,N NORTHGATE WAY,2008,26700
false,30TH AVE NE,2008,6300
false,NW MARKET ST,2008,24700
false,BEACON AVE S,2008,12400
false,S MYRTLE ST,2008,12500
false,S COLUMBIAN WAY,2008,15000
false,ELLIOTT AV ON RP,2008,15500
false,N 50TH ST,2008,11900
false,15TH AVE NE,2008,7600
false,8TH AVE S,2008,2100
false,25TH AVE NE,2008,11500
false,4TH AVE S,2008,19100
true,2ND AVE,2008,15200
false,35TH AVE NE,2008,14500
false,RENTON AVE S,2008,8700
false,ROOSEVELT WAY NE,2008,11100
true,SENECA ST OFF RP,2008,10300
false,VALLEY ST,2008,41100
false,NE 125TH ST,2008,10700
false,CORSON AVE S,2008,8500
true,4TH AVE,2008,13600
false,N 80TH ST,2008,15000
false,CALIFORNIA AVE SW,2008,12400
false,E MADISON ST,2008,15800
false,S COLUMBIAN WAY,2008,37700
false,S HOLGATE BR,2008,7500
false,ALASKAN WY VI NB ON RP,2008,12200
false,34TH AVE W,2008,5100
false,GREENWOOD AVE N,2008,24800
false,AURORA AVE N,2008,85300
false,S LANDER ST,2008,12300
true,6TH AVE,2008,13400
false,RAINIER AVE S,2008,27300
false,NE 65TH ST,2008,14100
false,15TH AVE NE,2008,12500
false,3RD AVE NW,2008,8100
false,AURORA BR,2008,83800
false,NE 145TH ST,2008,32000
false,25TH AVE NE,2008,18000
false,SWIFT AVE S,2008,8500
false,EASTLAKE AVE E,2008,15400
false,16TH AVE SW,2008,5300
false,CORSON AVE S,2008,25200
true,1ST AVE,2008,15500
false,24TH AVE E,2008,19600
false,LAKE CITY WAY NE,2008,35000
false,SW 106TH ST,2008,16000
false,M L KING JR WAY E,2008,7500
false,LAKE CITY WAY NE,2008,38400
false,12TH AVE S,2008,18900
true,WESTERN AVE,2008,10200
false,ELLIS AVE S,2008,10500
false,NICKERSON ST,2008,23700
false,35TH AVE SW,2008,16200
true,ALASKAN WAY S,2008,11800
false,BOREN AVE,2008,18100
false,CALIFORNIA AVE SW,2008,13100
false,STEWART ST RAMP,2008,20200
false,PIKE RAMP,2008,2600
false,UNIVERSITY ST ON RAMP,2008,8800
false,JAMES ST OFF RAMP,2008,12100
false,YALE ST ON RAMP,2008,17400
false,OLIVE WAY OFF RAMP,2008,10900
false,COLUMBIA ST OFF RAMP,2008,17400
false,SENECA ST OFF RAMP,2008,12000
false,SPRING ST ON RAMP,2008,16200
false,UNION ST OFF RAMP,2008,10000
false,JAMES ST ON RAMP SB,2008,20000
false,CHERRY ST ON RAMP NB,2008,12700
false,MADISON ST OFF RAMP,2008,13300
false,CHERRY ST REV RAMP,2008,3700
true,WESTERN AVE,2008,7500
true,ALASKAN WAY,2008,12500
false,SR99 FY,2008,37700
false,SR509 NB,2008,58600
false,ALASKAN WY VI NB & SB,2008,63500
false,ALASKAN WY VI NB & SB,2008,84100
false,WEST SEATTLE BR EB & WB,2008,82200
false,WEST SEATTLE BR EB & WB,2008,94100
false,WEST SEATTLE BR EB & WB,2008,42500
false,35TH AVE SW,2008,22400
false,FREMONT BR,2008,26700
false,BATTERY ST TUNNEL NB & SB,2008,63600
false,ALASKAN WY VI NB & SB,2008,108200
false,M L KING JR WAY S,2008,17900
false,M L KING JR WAY S,2008,25000
false,S HENDERSON ST,2008,10000
false,S GRAHAM ST,2008,10600
false,RAINIER AVE S,2008,29900
false,S JACKSON ST,2008,13900
false,ML KING JR BLVD S NB & SB,2008,18200
false,M L KING JR WAY S NB & SB,2008,21800
false,S COLUMBIAN WAY,2008,37700
false,NORTHGATE WAY W/O 15TH AVE NE,2008,18600
false,ROOSEVELT WAY NE,2008,10300
true,MELROSE AVE ON RAMP,2008,15200
false,N 45TH ST,2007,20900
false,NE 80TH ST,2007,9100
true,DENNY WAY,2007,33077
false,E ALOHA ST,2007,8800
false,51ST AVE S,2007,6600
false,24TH AVE NW,2007,10900
false,10TH AVE E,2007,15300
false,NE NORTHGATE WAY,2007,31100
true,JAMES ST,2007,35200
false,NW 80TH ST,2007,8500
false,AURORA AVE N,2007,37900
false,4TH AVE S,2007,28800
false,AIRPORT WAY S,2007,19100
false,15TH AVE W,2007,43300
false,S LUCILE ST,2007,6500
true,DENNY WAY,2007,26700
false,E YESLER WAY,2007,9300
true,BOREN AVE,2007,22200
false,DELRIDGE WAY SW,2007,13900
false,FAUNTLEROY WAY SW,2007,18700
false,QUEEN ANNE AVE N,2007,11952
false,14TH AVE,2007,8100
false,NE 75TH ST,2007,15600
true,7TH AVE,2007,7000
false,NE 45TH ST,2007,35200
false,N 46TH ST,2007,24500
false,N 65TH ST,2007,8200
false,SW MORGAN ST,2007,6300
false,E CHERRY ST,2007,8300
false,S GENESEE ST,2007,10600
false,N 85TH ST,2007,24600
false,MAGNOLIA BR,2007,19600
false,AIRPORT WAY S,2007,13100
true,MADISON ST,2007,23900
false,NE 50TH ST,2007,27000
false,GREENWOOD AVE N,2007,13500
true,E PINE ST,2007,11500
false,GREENWOOD AVE N,2007,24000
false,ROOSEVELT WAY NE,2007,19300
false,1ST AVE NE,2007,5300
false,FAUNTLEROY FERRY DOCK,2007,6600
false,N 145TH ST,2007,25700
true,E PIKE ST,2007,11500
false,35TH AVE NE,2007,14900
true,7TH AVE,2007,5100
false,FAUNTLEROY WAY SW,2007,11600
false,1ST AVE S,2007,16500
false,NE 55TH ST,2007,6200
true,1ST AVE S,2007,12100
false,NE 45TH ST,2007,26300
false,RAINIER AVE S,2007,29000
false,1ST AVE S,2007,14500
false,EAST GREEN LAKE WAY N,2007,17320
true,2ND AVE,2007,12400
false,32ND AVE NW,2007,4500
false,12TH AVE,2007,12900
false,NE 65TH ST,2007,11900
false,GREENWOOD AVE N,2007,12100
false,5TH AVE NE,2007,6000
false,ELLIOTT AVE W,2007,48000
false,1ST AVE S,2007,25500
false,SEAVIEW AVE NW,2007,3300
false,LAKE CITY WAY NE,2007,36300
true,3RD AVE,2007,8700
false,N 105TH ST,2007,23400
false,12TH AVE NE,2007,8800
false,DELRIDGE WAY SW,2007,16700
false,15TH AVE NE,2007,15500
false,15TH AVE NW,2007,32900
false,WESTLAKE AVE N,2007,26300
false,N 40TH ST,2007,12700
true,1ST AVE,2007,22300
false,W EMERSON PL,2007,21700
false,LAKE WASHINGTON BLVD E,2007,20200
false,PHINNEY AVE N,2007,11800
false,BROADWAY,2007,18200
false,BEACON AVE S,2007,11100
false,BALLARD BR,2007,57700
false,EAST MARGINAL WAY S,2007,13200
false,S DEARBORN ST,2007,21400
false,NE 65TH ST,2007,15400
false,6TH AVE S,2007,14200
false,ALKI AVE SW,2007,6900
true,5TH AVE,2007,12900
false,,2007,5800
false,1ST AV S BR NB,2007,88000
false,W EMERSON PL,2007,21700
false,NW 85TH ST,2007,15400
false,8TH AVE SW,2007,6400
false,RAINIER AVE S,2007,38000
false,4TH AVE S,2007,22300
true,ALASKAN WAY,2007,12600
false,PINEHURST WAY NE,2007,9200
false,35TH AVE SW,2007,21300
false,LEARY WAY NW,2007,29600
true,4TH AVE,2007,22000
false,NE 45TH ST,2007,31000
false,NE NORTHGATE WAY,2007,18000
false,SW ADMIRAL WAY,2007,26000
false,3RD AVE NW,2007,8500
false,ROOSEVELT WAY NE,2007,11900
false,28TH AVE W,2007,4200
true,DENNY WAY,2007,23700
false,EAST MARGINAL WAY S,2007,17400
false,WESTERN AV OFF RP,2007,16700
false,AURORA AVE N,2007,89500
false,RAINIER AVE S,2007,23700
false,N 130TH ST,2007,13700
false,15TH AVE NE,2007,11100
false,OLSON PL SW,2007,28300
false,31ST AVE S,2007,4800
false,WEST MARGINAL WAY SW,2007,16700
false,AURORA AVE N,2007,36300
false,RENTON AVE S,2007,12100
false,14TH AVE S,2007,16700
false,N 85TH ST,2007,25840
false,DELRIDGE WAY SW,2007,20200
false,8TH AVE NW,2007,12800
true,3RD AVE,2007,8400
false,FREMONT AVE N,2007,10600
false,STONE WAY N,2007,16000
true,5TH AVE,2007,14700
false,20TH AVE W,2007,7500
false,ALASKAN WY VI SB OFF RP,2007,13100
false,SW BARTON ST,2007,9000
false,SAND POINT WAY NE,2007,13800
false,E UNION ST,2007,10300
false,N 130TH ST,2007,19500
false,E JOHN ST,2007,15200
false,RENTON AVE S,2007,7200
true,COLUMBIA ST ON RP,2007,9500
true,DENNY WAY,2007,26900
false,5TH AVE NE,2007,17800
false,N 145TH ST,2007,13600
false,SW AVALON WAY,2007,13000
true,DENNY WAY,2007,32600
false,N 125TH ST,2007,9000
false,W DRAVUS ST,2007,22700
true,8TH AVE,2007,3900
false,12TH AVE E,2007,9100
false,11TH AVE NE,2007,10100
false,NE 75TH ST,2007,21100
false,MONTLAKE BR,2007,57203
false,4TH AVE S,2007,26400
false,1ST AV S BR NB,2007,88000
false,S JACKSON ST,2007,10800
true,6TH AVE,2007,8600
false,SAND POINT WAY NE,2007,13800
false,EAST GREEN LAKE DR N,2007,12900
false,NE 75TH ST,2007,21100
false,MERIDIAN AVE N,2007,4800
false,HOLMAN RD NW,2007,30300
false,BEACH DR SW,2007,4300
false,15TH AVE NE,2007,8900
false,E MADISON ST,2007,14100
false,RAINIER AVE S,2007,20100
false,E MADISON ST,2007,22454
false,15TH AVE S,2007,26400
false,5TH AVE NE,2007,13200
false,MYERS WAY S,2007,5800
false,NE 50TH ST,2007,22000
false,16TH AVE S,2007,19400
false,UNIVERSITY BR,2007,31595
true,WESTERN AVE,2007,7600
false,M L KING JR WAY,2007,14600
false,MERCER ST,2007,38200
false,SW ROXBURY ST,2007,14700
false,NE 125TH ST,2007,16700
false,MONTLAKE BLVD NE,2007,46000
false,S OTHELLO ST,2007,9400
false,S MICHIGAN ST,2007,33600
false,GILMAN AVE W,2007,12900
false,RAINIER AVE S,2007,25031
false,NE PACIFIC ST,2007,11300
false,S LUCILE ST,2007,7500
false,N NORTHGATE WAY,2007,28300
false,30TH AVE NE,2007,6400
false,NW MARKET ST,2007,24891
false,BEACON AVE S,2007,13600
false,S MYRTLE ST,2007,13000
false,S COLUMBIAN WAY,2007,17500
false,ELLIOTT AV ON RP,2007,16800
false,N 50TH ST,2007,12400
false,15TH AVE NE,2007,8000
false,8TH AVE S,2007,1800
false,25TH AVE NE,2007,12400
false,4TH AVE S,2007,19400
true,2ND AVE,2007,16100
false,35TH AVE NE,2007,15100
false,RENTON AVE S,2007,7200
false,ROOSEVELT WAY NE,2007,11100
true,SENECA ST OFF RP,2007,10100
false,VALLEY ST,2007,38900
false,NE 125TH ST,2007,11400
false,CORSON AVE S,2007,9000
true,4TH AVE,2007,14100
false,N 80TH ST,2007,15500
false,CALIFORNIA AVE SW,2007,11600
false,E MADISON ST,2007,16400
false,S COLUMBIAN WAY,2007,39600
false,S HOLGATE BR,2007,7600
false,ALASKAN WY VI NB ON RP,2007,10800
false,34TH AVE W,2007,5600
false,GREENWOOD AVE N,2007,26100
false,AURORA AVE N,2007,89500
false,S LANDER ST,2007,12305
true,6TH AVE,2007,14100
false,RAINIER AVE S,2007,29900
false,NE 65TH ST,2007,15200
false,15TH AVE NE,2007,16300
false,3RD AVE NW,2007,8300
false,AURORA BR,2007,87500
false,NE 145TH ST,2007,30500
false,25TH AVE NE,2007,16300
false,SWIFT AVE S,2007,8700
false,EASTLAKE AVE E,2007,15800
false,16TH AVE SW,2007,5100
false,CORSON AVE S,2007,24300
true,1ST AVE,2007,16700
false,24TH AVE E,2007,21200
false,LAKE CITY WAY NE,2007,36405
false,SW 106TH ST,2007,9600
false,M L KING JR WAY E,2007,7900
false,LAKE CITY WAY NE,2007,38900
false,12TH AVE S,2007,18800
true,WESTERN AVE,2007,11100
false,ELLIS AVE S,2007,9900
false,NICKERSON ST,2007,11800
false,35TH AVE SW,2007,16200
true,ALASKAN WAY S,2007,12900
false,BOREN AVE,2007,20800
false,CALIFORNIA AVE SW,2007,13100
false,STEWART ST RAMP,2007,20000
false,PIKE RAMP,2007,2700
false,UNIVERSITY ST ON RAMP,2007,8700
false,JAMES ST OFF RAMP,2007,12300
false,YALE ST ON RAMP,2007,20900
false,OLIVE WAY OFF RAMP,2007,9700
false,COLUMBIA ST OFF RAMP,2007,17200
false,SENECA ST OFF RAMP,2007,12400
false,SPRING ST ON RAMP,2007,16100
false,UNION ST OFF RAMP,2007,9800
false,JAMES ST ON RAMP SB,2007,20800
false,CHERRY ST ON RAMP NB,2007,12400
false,MADISON ST OFF RAMP,2007,13400
false,CHERRY ST REV RAMP,2007,3900
true,WESTERN AVE,2007,7600
true,ALASKAN WAY,2007,14300
false,SR99 FY,2007,39700
false,SR509 NB,2007,58700
false,ALASKAN WY VI NB & SB,2007,54700
false,ALASKAN WY VI NB & SB,2007,86200
false,WEST SEATTLE BR EB & WB,2007,66400
false,WEST SEATTLE BR EB & WB,2007,85100
false,WEST SEATTLE BR EB & WB,2007,44300
false,35TH AVE SW,2007,23300
false,BATTERY ST TUNNEL NB & SB,2007,66400
false,ALASKAN WY VI NB & SB,2007,110100
false,M L KING JR WAY S,2007,16800
false,M L KING JR WAY S,2007,19900
false,S HENDERSON ST,2007,6800
false,S GRAHAM ST,2007,11300
false,RAINIER AVE S,2007,34700
false,S JACKSON ST,2007,14600
false,ML KING JR BLVD S NB & SB,2007,14800
false,M L KING JR WAY S NB & SB,2007,18700
false,S COLUMBIAN WAY,2007,39600
false,NORTHGATE WAY W/O 15TH AVE NE,2007,18000
false,ROOSEVELT WAY NE,2007,12400
true,MELROSE AVE ON RAMP,2007,16000
